date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:01:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20May%202023%2005:01:10%20GMT	http://orgolife2.local/picual	C:/My%20Web%20Sites/picual/orgolife2.local/picual.0.delayed	(from )
08:01:12	130/130	---MCZ	200	added ('OK')	text/plain	date:Thu,%2004%20May%202023%2005:01:12%20GMT	http://orgolife2.local/robots.txt		(from )
08:01:14	251129/251129	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2005:01:13%20GMT	http://orgolife2.local/picual/	C:/My%20Web%20Sites/picual/orgolife2.local/picual/index.html	(from )
08:01:14	1138/1138	---M--	200	added ('OK')	image/png	etag:%2263f536a5-472%22	http://orgolife2.local/wp-content/uploads/elementor/thumbs/domain-registration-q2i60gllyosravaui1xks75em4x2doffijar1yyqus.png	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/uploads/elementor/thumbs/domain-registration-q2i60gllyosravaui1xks75em4x2doffijar1yyqus.png	(from http://orgolife2.local/picual/)
08:01:15	41482/41482	---MCZ	200	added ('OK')	text/css	etag:W/%22642eedd0-a20a%22	http://orgolife2.local/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.1.3	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/themes/astra/assets/css/minified/main.mina352.css	(from http://orgolife2.local/picual/)
08:01:15	97517/97517	---MCZ	200	added ('OK')	text/css	etag:W/%22640a784d-17ced%22	http://orgolife2.local/wp-includes/css/dist/block-library/style.min.css?ver=6.2	C:/My%20Web%20Sites/picual/orgolife2.local/wp-includes/css/dist/block-library/style.minae48.css	(from http://orgolife2.local/picual/)
08:01:16	1610/1610	---MCZ	200	added ('OK')	text/css	etag:W/%226451e300-64a%22	http://orgolife2.local/wp-content/plugins/jetpack/jetpack_vendor/automattic/jetpack-videopress/build/block-editor/blocks/video/view.css?minify=false&ver=317afd605f368082816f	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/jetpack/jetpack_vendor/automattic/jetpack-videopress/build/block-editor/blocks/video/viewd197.css	(from http://orgolife2.local/picual/)
08:01:16	11256/11256	---MCZ	200	added ('OK')	text/css	etag:W/%225f735862-2bf8%22	http://orgolife2.local/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/My%20Web%20Sites/picual/orgolife2.local/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from http://orgolife2.local/picual/)
08:01:16	4186/4186	---MCZ	200	added ('OK')	text/css	etag:W/%225cfaccce-105a%22	http://orgolife2.local/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.2	C:/My%20Web%20Sites/picual/orgolife2.local/wp-includes/js/mediaelement/wp-mediaelement.minae48.css	(from http://orgolife2.local/picual/)
08:01:16	10435/10435	---MCZ	200	added ('OK')	text/css	etag:W/%22644fe7a4-28c3%22	http://orgolife2.local/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=9.8.5	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style519f.css	(from http://orgolife2.local/picual/)
08:01:18	260560/260560	---MCZ	200	added ('OK')	text/css	etag:W/%22644fe7a4-3f9d0%22	http://orgolife2.local/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=9.8.5	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style519f.css	(from http://orgolife2.local/picual/)
08:01:18	836/836	---MC-	200	added ('OK')	application/rss+xml	etag:%22b7ea83df09241dfc21f7226227b9753b%22	http://orgolife2.local/comments/feed/	C:/My%20Web%20Sites/picual/orgolife2.local/comments/feed/index.html	(from http://orgolife2.local/picual/)
08:01:18	16101/16101	---MCZ	200	added ('OK')	text/css	etag:W/%22642eedd0-3ee5%22	http://orgolife2.local/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout-grid.min.css?ver=4.1.3	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout-grid.mina352.css	(from http://orgolife2.local/picual/)
08:01:18	6005/6005	---MCZ	200	added ('OK')	text/css	etag:W/%22642eedd0-1775%22	http://orgolife2.local/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen-grid.min.css?ver=4.1.3	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen-grid.mina352.css	(from http://orgolife2.local/picual/)
08:01:19	115260/115260	---MCZ	200	added ('OK')	text/css	etag:W/%22642eedd0-1c23c%22	http://orgolife2.local/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-grid.min.css?ver=4.1.3	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-grid.mina352.css	(from http://orgolife2.local/picual/)
08:01:19	908/908	---MCZ	200	added ('OK')	text/css	etag:W/%2263e9fee6-38c%22	http://orgolife2.local/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/legacy-list-horizontal/style.min.css?ver=1	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/legacy-list-horizontal/style.min68b3.css	(from http://orgolife2.local/picual/)
08:01:19	19363/19363	---MCZ	200	added ('OK')	text/css	etag:W/%226445573c-4ba3%22	http://orgolife2.local/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	(from http://orgolife2.local/picual/)
08:01:20	81269/81269	---MCZ	200	added ('OK')	text/css	etag:W/%226445573c-13d75%22	http://orgolife2.local/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.12.2	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/elementor/assets/css/frontend-lite.mine56c.css	(from http://orgolife2.local/picual/)
08:01:20	18983/18983	---MC-	200	added ('OK')	application/rss+xml	etag:%22b7ea83df09241dfc21f7226227b9753b%22	http://orgolife2.local/feed/	C:/My%20Web%20Sites/picual/orgolife2.local/feed/index.html	(from http://orgolife2.local/picual/)
08:01:20	12876/12876	---MCZ	200	added ('OK')	text/css	etag:W/%226445573c-324c%22	http://orgolife2.local/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from http://orgolife2.local/picual/)
08:01:20	6547/6547	---MCZ	200	added ('OK')	text/css	etag:W/%22644feb75-1993%22	http://orgolife2.local/wp-content/uploads/elementor/css/post-246.css?ver=1682959221	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/uploads/elementor/css/post-2466b10.css	(from http://orgolife2.local/picual/)
08:01:20	9055/9055	---MCZ	200	added ('OK')	text/css	etag:W/%2264460004-235f%22	http://orgolife2.local/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.12.3	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min0fca.css	(from http://orgolife2.local/picual/)
08:01:20	226343/226343	---MCZ	200	added ('OK')	text/css	etag:W/%22644feb78-37427%22	http://orgolife2.local/wp-content/uploads/elementor/css/global.css?ver=1682959224	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/uploads/elementor/css/globalc4bc.css	(from http://orgolife2.local/picual/)
08:01:21	66588/66588	---MCZ	200	added ('OK')	text/css	etag:W/%226451e32e-1041c%22	http://orgolife2.local/wp-content/uploads/elementor/css/post-2337.css?ver=1683088174	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/uploads/elementor/css/post-2337417e.css	(from http://orgolife2.local/picual/)
08:01:21	25225/25225	---MCZ	200	added ('OK')	text/css	etag:W/%22644feb79-6289%22	http://orgolife2.local/wp-content/uploads/elementor/css/post-275.css?ver=1682959225	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/uploads/elementor/css/post-275428b.css	(from http://orgolife2.local/picual/)
08:01:21	3509/3509	---MCZ	200	added ('OK')	text/css	etag:W/%22643e6041-db5%22	http://orgolife2.local/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=5.7.1	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.mina78f.css	(from http://orgolife2.local/picual/)
08:01:21	57912/57912	---MCZ	200	added ('OK')	text/css	etag:W/%226445573c-e238%22	http://orgolife2.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from http://orgolife2.local/picual/)
08:01:22	669/669	---MCZ	200	added ('OK')	text/css	etag:W/%226445573c-29d%22	http://orgolife2.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from http://orgolife2.local/picual/)
08:01:22	675/675	---MCZ	200	added ('OK')	text/css	etag:W/%226445573c-2a3%22	http://orgolife2.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from http://orgolife2.local/picual/)
08:01:23	89815/89815	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226408d5ed-15ed7%22	http://orgolife2.local/wp-includes/js/jquery/jquery.min.js?ver=3.6.3	C:/My%20Web%20Sites/picual/orgolife2.local/wp-includes/js/jquery/jquery.mina767.js	(from http://orgolife2.local/picual/)
08:01:23	13424/13424	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2263e16a23-3470%22	http://orgolife2.local/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.0	C:/My%20Web%20Sites/picual/orgolife2.local/wp-includes/js/jquery/jquery-migrate.min6b00.js	(from http://orgolife2.local/picual/)
08:01:23	11898/11898	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2264362dfa-2e7a%22	http://orgolife2.local/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min.js?ver=8.14.1	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min9220.js	(from http://orgolife2.local/picual/)
08:01:27	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2252a8c1b7-415%22	http://orgolife2.local/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/picual/orgolife2.local/wp-includes/wlwmanifest.xml	(from http://orgolife2.local/picual/)
08:01:28	81088/81088	---MCZ	200	added ('OK')	application/json	date:Thu,%2004%20May%202023%2005:01:27%20GMT	http://orgolife2.local/wp-json/wp/v2/pages/2337	C:/My%20Web%20Sites/picual/orgolife2.local/wp-json/wp/v2/pages/2337.json	(from http://orgolife2.local/picual/)
08:01:29	1431701/1431701	---MCZ	200	added ('OK')	application/json	date:Thu,%2004%20May%202023%2005:01:26%20GMT	http://orgolife2.local/wp-json/	C:/My%20Web%20Sites/picual/orgolife2.local/wp-json/index.html	(from http://orgolife2.local/picual/)
08:01:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20May%202023%2005:01:29%20GMT	http://orgolife2.local/?p=2337	C:/My%20Web%20Sites/picual/orgolife2.local/index6cf9.html	(from http://orgolife2.local/picual/)
08:01:30	2686/2686	---MCZ	200	added ('OK')	application/json	date:Thu,%2004%20May%202023%2005:01:30%20GMT	http://orgolife2.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Forgolife2.local%2Fpicual%2F	C:/My%20Web%20Sites/picual/orgolife2.local/wp-json/oembed/1.0/embed536e.json	(from http://orgolife2.local/picual/)
08:01:30	1474/1474	---M--	200	added ('OK')	image/png	etag:%2263e9feeb-5c2%22	http://orgolife2.local/wp-content/uploads/2022/10/cropped-favicon-32x32.png	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/uploads/2022/10/cropped-favicon-32x32.png	(from http://orgolife2.local/picual/)
08:01:31	14510/14510	---M--	200	added ('OK')	image/png	etag:%2263e9feeb-38ae%22	http://orgolife2.local/wp-content/uploads/2022/10/cropped-favicon-192x192.png	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/uploads/2022/10/cropped-favicon-192x192.png	(from http://orgolife2.local/picual/)
08:01:31	13416/13416	---M--	200	added ('OK')	image/png	etag:%2263e9feeb-3468%22	http://orgolife2.local/wp-content/uploads/2022/10/cropped-favicon-180x180.png	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/uploads/2022/10/cropped-favicon-180x180.png	(from http://orgolife2.local/picual/)
08:01:31	600/600	---M--	200	added ('OK')	image/png	etag:%2263e9fee6-258%22	http://orgolife2.local/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png	(from http://orgolife2.local/picual/)
08:01:32	197184/197184	---MCZ	200	added ('OK')	text/css	etag:W/%2264460004-30240%22	http://orgolife2.local/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce.min.css	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce.min.css	(from http://orgolife2.local/picual/)
08:01:32	9921/9921	---MCZ	200	added ('OK')	text/css	etag:W/%226445573c-26c1%22	http://orgolife2.local/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	(from http://orgolife2.local/picual/)
08:01:32	1498/1498	---M--	200	added ('OK')	image/png	etag:%2263f537bc-5da%22	http://orgolife2.local/wp-content/uploads/elementor/thumbs/viral-marketing-q2i60gllyosravaui1xks75em4x2doffijar1yyqus.png	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/uploads/elementor/thumbs/viral-marketing-q2i60gllyosravaui1xks75em4x2doffijar1yyqus.png	(from http://orgolife2.local/picual/)
08:01:32	1385/1385	---M--	200	added ('OK')	image/png	etag:%2263f5389c-569%22	http://orgolife2.local/wp-content/uploads/elementor/thumbs/startup-q2i60hjg5iu1mh9hckc7cowv7isfldj5uny8j8xcok.png	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/uploads/elementor/thumbs/startup-q2i60hjg5iu1mh9hckc7cowv7isfldj5uny8j8xcok.png	(from http://orgolife2.local/picual/)
08:01:33	1441/1441	---M--	200	added ('OK')	image/png	etag:%2263f53ba7-5a1%22	http://orgolife2.local/wp-content/uploads/elementor/thumbs/certificate-q2i60gllyosravaui1xks75em4x2doffijar1yyqus.png	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/uploads/elementor/thumbs/certificate-q2i60gllyosravaui1xks75em4x2doffijar1yyqus.png	(from http://orgolife2.local/picual/)
08:01:36	210059/210059	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2005:01:35%20GMT	http://orgolife2.local/	C:/My%20Web%20Sites/picual/orgolife2.local/index.html	(from http://orgolife2.local/picual/)
08:01:37	8671/8671	---MCZ	200	added ('OK')	text/css	etag:W/%2264460004-21df%22	http://orgolife2.local/wp-content/plugins/elementor-pro/assets/css/widget-flip-box.min.css	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/elementor-pro/assets/css/widget-flip-box.min.css	(from http://orgolife2.local/picual/)
08:01:37	26596/26596	---MCZ	200	added ('OK')	text/css	etag:W/%2264460004-67e4%22	http://orgolife2.local/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	(from http://orgolife2.local/picual/)
08:01:38	19471/19471	---MCZ	200	added ('OK')	text/css	etag:W/%22644feb7a-4c0f%22	http://orgolife2.local/wp-content/uploads/elementor/css/post-30.css?ver=1682959226	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/uploads/elementor/css/post-3043f5.css	(from http://orgolife2.local/picual/)
08:01:38	18468/18468	---MCZ	200	added ('OK')	text/css	etag:W/%226445573c-4824%22	http://orgolife2.local/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.12.2	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/elementor/assets/lib/animations/animations.mine56c.css	(from http://orgolife2.local/picual/)
08:01:38	3287/3287	---MCZ	200	added ('OK')	text/css	etag:W/%22644fe797-cd7%22	http://orgolife2.local/wp-content/plugins/woocommerce/assets/css/photoswipe/photoswipe.min.css?ver=7.6.1	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/woocommerce/assets/css/photoswipe/photoswipe.min56be.css	(from http://orgolife2.local/picual/)
08:01:39	7887/7887	---MCZ	200	added ('OK')	text/css	etag:W/%22644fe797-1ecf%22	http://orgolife2.local/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.min.css?ver=7.6.1	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.min56be.css	(from http://orgolife2.local/picual/)
08:01:39	20585/20585	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22642eedd0-5069%22	http://orgolife2.local/wp-content/themes/astra/assets/js/minified/frontend.min.js?ver=4.1.3	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/themes/astra/assets/js/minified/frontend.mina352.js	(from http://orgolife2.local/picual/)
08:01:43	224902/224902	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2005:01:41%20GMT	http://orgolife2.local/product/coratina-extra-virgin-olive-oil/	C:/My%20Web%20Sites/picual/orgolife2.local/product/coratina-extra-virgin-olive-oil/index.html	(from http://orgolife2.local/picual/)
08:01:45	251159/251159	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2005:01:41%20GMT	http://orgolife2.local/picual/?add-to-cart=1669	C:/My%20Web%20Sites/picual/orgolife2.local/picual/index6f1a.html	(from http://orgolife2.local/picual/)
08:01:45	9505/9505	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22644fe798-2521%22	http://orgolife2.local/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.7.6.1	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.minb69f.js	(from http://orgolife2.local/picual/)
08:01:50	251159/251159	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2005:01:47%20GMT	http://orgolife2.local/picual/?add-to-cart=533	C:/My%20Web%20Sites/picual/orgolife2.local/picual/indexe6b6.html	(from http://orgolife2.local/picual/)
08:01:50	110350/110350	---M--	200	added ('OK')	image/webp	etag:%2263f5441c-1af0e%22	http://orgolife2.local/wp-content/uploads/2023/02/OrgoLife-2-glass-bottles.webp	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/uploads/2023/02/OrgoLife-2-glass-bottles.webp	(from http://orgolife2.local/picual/)
08:01:50	225409/225409	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2005:01:48%20GMT	http://orgolife2.local/product/picual-extra-virgin-olive-oil/	C:/My%20Web%20Sites/picual/orgolife2.local/product/picual-extra-virgin-olive-oil/index.html	(from http://orgolife2.local/picual/)
08:01:51	3029/3029	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22644fe798-bd5%22	http://orgolife2.local/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=7.6.1	C:/My%20Web%20Sites/picual/orgolife2.local/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min56be.js	(from http://orgolife2.local/picual/)
